activity_metric,chemical_feature,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,n_samples,correlation_strength,correlation_direction,pearson_corrected_p,spearman_corrected_p
triple_activity_score,num_heavy_atoms,0.12649398888961447,1.8042814522240013e-11,0.16600755590645183,9.028518417025699e-19,2803,very_weak,positive,,
triple_activity_score,num_rings,0.09773584088184276,2.1651085942757537e-07,0.14018846567219614,8.947145748524407e-14,2803,very_weak,positive,,
triple_activity_score,num_aromatic_rings,0.10627431041027072,1.7006189071795973e-08,0.13878501615877184,1.5804081081868527e-13,2803,very_weak,positive,,
triple_activity_score,num_aliphatic_rings,0.004338202405118636,0.818419959255734,0.013188019765907168,0.4852165492780127,2803,very_weak,positive,,
triple_activity_score,num_heteroatoms,0.11620253780052994,6.815100262228557e-10,0.14629765223901336,7.029478627060551e-15,2803,very_weak,positive,,
triple_activity_score,formal_charge,0.022867566254823467,0.22616219988155006,0.02352069454451809,0.21317531008645949,2803,very_weak,positive,,
triple_activity_score,fraction_csp3,-0.04041147198749863,0.032400135322953924,-0.0633813226546866,0.0007865079971173638,2803,very_weak,negative,,
triple_activity_score,bertz_complexity,0.12055912208412713,1.5202798172282822e-10,0.17135023364359164,6.513323787788611e-20,2803,very_weak,positive,,
triple_activity_score,balaban_j,-0.08796433404342582,3.099800693091297e-06,-0.138240709179214,1.9675448983941173e-13,2803,very_weak,negative,,
triple_activity_score,carbon_count,0.11038816436439539,4.639016721254402e-09,0.1412250243240531,5.855800343410494e-14,2803,very_weak,positive,,
triple_activity_score,nitrogen_count,0.10434828800944061,3.073331013394874e-08,0.1281530002340108,9.765236985423492e-12,2803,very_weak,positive,,
triple_activity_score,oxygen_count,0.003196644446132128,0.8656660249925243,0.0009092740994626866,0.9616217475285322,2803,very_weak,positive,,
triple_activity_score,sulfur_count,0.047662891886643945,0.011611288199101474,0.06981376890913826,0.00021641558170896907,2803,very_weak,positive,,
triple_activity_score,halogen_count,0.018572220896561492,0.32564579210389966,0.005174872837068524,0.7841961965993596,2803,very_weak,positive,,
triple_activity_score,aromatic_carbocycles,0.09372677834119708,6.662794344622261e-07,0.1284541763926997,8.727910709062462e-12,2803,very_weak,positive,,
triple_activity_score,aromatic_heterocycles,0.030362727258439724,0.10801960651343098,0.025230065693996537,0.1817515652335516,2803,very_weak,positive,,
triple_activity_score,hydroxyl_groups,0.0095105536422129,0.6147480855936244,0.008692314261637767,0.6455134959982428,2803,very_weak,positive,,
triple_activity_score,carboxyl_groups,0.012405637453754594,0.5114841320022818,0.01754141310857775,0.35322156723188414,2803,very_weak,positive,,
triple_activity_score,ester_groups,0.013046919554327397,0.48989922300286437,0.01844817781834924,0.32888804852804665,2803,very_weak,positive,,
triple_activity_score,amide_groups,-0.0010013693563532058,0.9577380983630599,-0.029077088589897673,0.12378533055245089,2803,very_weak,negative,,
triple_activity_score,amine_groups,0.10429683095414918,3.121859296352259e-08,0.12805987661217988,1.0109744964575e-11,2803,very_weak,positive,,
triple_activity_score,halogen_substituents,0.018572220896561492,0.32564579210389966,0.005174872837068524,0.7841961965993596,2803,very_weak,positive,,
triple_activity_score,lipinski_violations,0.04233025433290995,0.0250188853612009,0.06263451560024079,0.000907096595708683,2803,very_weak,positive,,
triple_activity_score,membrane_permeability_score,-0.0283563105026602,0.13337866449148994,-0.02645600085656421,0.16142647693947915,2803,very_weak,negative,,
triple_activity_score,flexibility_index,0.07029811649951245,0.00019549539659816282,0.07966185141966643,2.4171805640612104e-05,2803,very_weak,positive,,
triple_activity_score,heteroatom_ratio,0.016138355286324364,0.3930532624812555,0.02569334399514986,0.1738584530668824,2803,very_weak,positive,,
triple_activity_score,aromatic_fraction,0.08290095840526147,1.1094414341128884e-05,0.07018893542603863,0.00020003832435275186,2803,very_weak,positive,,
triple_activity_score,structural_diversity_index,0.1009866332819388,8.41998986995049e-08,0.11192264233919953,2.8226299136392643e-09,2803,very_weak,positive,,
broad_spectrum_index,rank,0.33346451634604646,9.015731425739858e-74,0.5387265049018795,8.708988391940585e-211,2803,weak,positive,,
