feature,pathogen1,pathogen2,comparison,p_value,effect_size,mean_diff,fold_change,mean1,mean2,n1,n2,direction,weighted,corrected_p_value
aromatic_hydroxyl,EC,CA,EC_vs_CA,0.001,0.15154016658681835,0.01432865822188821,6.89385474860335,0.016759776536312845,0.0024311183144246355,537,1234,higher,True,0.0025135135135135136
carboxyl,SA,EC,SA_vs_EC,0.927,0.006155206943400178,0.0008216985923320923,1.049028016009148,0.017581475128644938,0.016759776536312845,2332,537,higher,True,0.9576
carboxyl,SA,CA,SA_vs_CA,0.0021,0.10134153955311236,0.011908865728320788,3.0993629012496933,0.017581475128644938,0.005672609400324149,2332,1234,higher,True,0.00465
carboxyl,EC,CA,EC_vs_CA,0.0147,0.11736270386824431,0.011087167135988696,2.9545091779728643,0.016759776536312845,0.005672609400324149,537,1234,higher,True,0.023171186440677966
ester,SA,EC,SA_vs_EC,0.6216,0.02676588609743967,-0.001727243979800108,0.6908233276157806,0.00385934819897084,0.005586592178770948,2332,537,lower,True,0.6721953488372093
ester,SA,CA,SA_vs_CA,0.0317,0.08166777151544977,-0.006675497830202581,0.3663412059638474,0.00385934819897084,0.010534846029173421,2332,1234,lower,True,0.04535538461538461
ester,EC,CA,EC_vs_CA,0.3757,0.04928970337506149,-0.004948253850402473,0.5302965191233345,0.005586592178770948,0.010534846029173421,537,1234,lower,True,0.43358414634146336
amide,SA,EC,SA_vs_EC,0.0009,0.16693708364587379,-0.05240823966448502,0.5229961915283311,0.057461406518010294,0.10986964618249531,2332,537,lower,True,0.0023914285714285713
amide,SA,CA,SA_vs_CA,0.0004,0.12538518862977727,0.03152947783081418,2.2158554888507713,0.057461406518010294,0.025931928687196116,2332,1234,higher,True,0.00124
amide,EC,CA,EC_vs_CA,0.0,0.31768807170106195,0.0839377174952992,4.236848230912474,0.10986964618249531,0.025931928687196116,537,1234,higher,True,0.0
amine,SA,EC,SA_vs_EC,0.0,0.3982490921136255,-0.6072943517604621,0.7912182670324147,2.301457975986278,2.90875232774674,2332,537,lower,True,0.0
amine,SA,CA,SA_vs_CA,0.0,0.2624299960808233,-0.4797413757155047,0.8275055776127819,2.301457975986278,2.781199351701783,2332,1234,lower,True,0.0
amine,EC,CA,EC_vs_CA,0.2578,0.06010242496977318,0.1275529760449574,1.0458625793821321,2.90875232774674,2.781199351701783,537,1234,higher,True,0.33768169014084504
halogen_subst,SA,EC,SA_vs_EC,0.013,0.11759987800968352,0.043961273960219885,2.4754502572898804,0.07375643224699828,0.02979515828677839,2332,537,higher,True,0.021325862068965515
halogen_subst,SA,CA,SA_vs_CA,0.0045,0.09301739910108349,0.03323779367325435,1.8203087478559172,0.07375643224699828,0.04051863857374393,2332,1234,higher,True,0.009097826086956522
halogen_subst,EC,CA,EC_vs_CA,0.3823,0.047699672749711174,-0.010723480286965539,0.7353445065176906,0.02979515828677839,0.04051863857374393,537,1234,lower,True,0.43358414634146336
