compound_id,smiles,violations,violation_details,SA_binary,EC_binary,CA_binary,SA_ensemble,EC_ensemble,CA_ensemble,SA_mic,EC_mic,CA_mic,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,Fsp3
CHEMBL2234657,O=C1C=C(COC2=CC=CC(O)=C2)C2=C(C=CC3=CC=CC=C32)O1,4,"['LogP: 4.23 (range: 1.39-4.01)', 'TPSA: 59.7 (range: 18.70-56.82)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.05 (range: 0.13-0.49)']",1,1,1,0.9005992531776428,0.7380808830261231,0.9786087512969972,25.0,25.0,12.5,318.3,4.23,59.7,1,4,3,4,0.05
CHEMBL593981,CC1=CC=C(C2C/C(=N\N3C(=O)CNC3=S)C(C)(C)C(C3=CC=C(C)C=C3)N2)C=C1,4,"['MW: 420.6 (range: 183.21-338.85)', 'LogP: 4.18 (range: 1.39-4.01)', 'HBD: 2 (range: 0.23-1.59)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.8199121713638305,0.8302315950393677,0.9655479788780212,25.0,50.0,25.0,420.6,4.18,56.7,2,4,3,4,0.38
CHEMBL3310577,O=C(NNC(=S)NC1CCCCC1)C1=CC([N+](=O)[O-])=CN1,4,"['LogP: 1.36 (range: 1.39-4.01)', 'TPSA: 112.1 (range: 18.70-56.82)', 'HBD: 4 (range: 0.23-1.59)', 'Fsp3: 0.5 (range: 0.13-0.49)']",1,1,1,0.9383366227149964,0.7306845843791961,0.9426774978637696,1.56,1.56,3.125,311.4,1.36,112.1,4,4,3,2,0.5
CHEMBL4207072,CC1=CC=C(N2C=C(CN3C(=O)COC4=CC=CC=C43)N=N2)C=C1,4,"['TPSA: 60.2 (range: 18.70-56.82)', 'HBD: 0 (range: 0.23-1.59)', 'HBA: 5 (range: 1.96-4.87)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.8226443529129028,0.8438054203987122,0.9418463587760926,3.9,3.9,7.8,320.4,2.5,60.2,0,5,3,4,0.17
CHEMBL2238519,CC1C(C2=CC=CC=C2)OC(C2=CC=CC=C2)CC12NC(=S)NN2C1=CC=CC=C1,4,"['MW: 415.6 (range: 183.21-338.85)', 'LogP: 5.12 (range: 1.39-4.01)', 'HBD: 2 (range: 0.23-1.59)', 'Rings: 5 (range: 1.88-2.92)']",1,1,1,0.946048104763031,0.8868396282196045,0.7738724708557129,25.0,12.5,50.0,415.6,5.12,36.5,2,3,3,5,0.24
CHEMBL2436547,COC1=CC(C2=C(C#N)C3=NN=CN3C(=S)N2)=CC(OC)=C1OC,4,"['MW: 343.4 (range: 183.21-338.85)', 'TPSA: 97.5 (range: 18.70-56.82)', 'HBA: 8 (range: 1.96-4.87)', 'Rings: 3 (range: 1.88-2.92)']",1,1,1,0.9299566388130188,0.8222043752670288,0.8524664521217347,16.0,16.0,16.0,343.4,2.35,97.5,1,8,4,3,0.2
CHEMBL471571,ClC1=CC2=C(C=C1Cl)N(C1CCCC1)C(Cl)=N2,4,"['LogP: 5.11 (range: 1.39-4.01)', 'TPSA: 17.8 (range: 18.70-56.82)', 'HBD: 0 (range: 0.23-1.59)', 'Rings: 3 (range: 1.88-2.92)']",1,1,1,0.8645002007484436,0.76830974817276,0.9713517785072326,3.12,50.0,50.0,289.6,5.11,17.8,0,2,1,3,0.42
CHEMBL2436548,N#CC1=C(C2=CC=C(F)C=C2)NC(=S)N2C=NN=C12,4,"['TPSA: 69.8 (range: 18.70-56.82)', 'HBA: 5 (range: 1.96-4.87)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.0 (range: 0.13-0.49)']",1,1,1,0.8552793502807617,0.801288104057312,0.9460835814476012,16.0,16.0,16.0,271.3,2.46,69.8,1,5,1,3,0.0
CHEMBL515595,CC(=O)OC1=CC=C(C2=NC3=CC(Cl)=CC=C3N2C2CCCC2)C=C1,4,"['MW: 354.8 (range: 183.21-338.85)', 'LogP: 5.4 (range: 1.39-4.01)', 'HBD: 0 (range: 0.23-1.59)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.8297833442687989,0.8256298065185547,0.9455292463302613,50.0,50.0,50.0,354.8,5.4,44.1,0,4,3,4,0.3
CHEMBL2260538,O=C(CC1SC(=O)NC1=O)NC1=NN=C(C(F)(F)F)S1,4,"['LogP: 1.24 (range: 1.39-4.01)', 'TPSA: 101.0 (range: 18.70-56.82)', 'HBD: 2 (range: 0.23-1.59)', 'HBA: 7 (range: 1.96-4.87)']",1,1,1,0.9213043689727785,0.7566463947296143,0.9204490542411804,32.0,32.0,16.0,326.3,1.24,101.0,2,7,3,2,0.38
CHEMBL2436549,N#CC1=C(C2=CC=C(Br)C=C2)NC(=S)N2C=NN=C12,4,"['TPSA: 69.8 (range: 18.70-56.82)', 'HBA: 5 (range: 1.96-4.87)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.0 (range: 0.13-0.49)']",1,1,1,0.8597305178642273,0.7923048913478852,0.9449466586112976,16.0,16.0,16.0,332.2,3.09,69.8,1,5,1,3,0.0
CHEMBL2235691,O=C1NC2=CC=C(Cl)C=C2/C1=N/N1C(=O)CSC1C1=CC=C(Cl)C=C1,4,"['MW: 392.3 (range: 183.21-338.85)', 'TPSA: 61.8 (range: 18.70-56.82)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.12 (range: 0.13-0.49)']",1,1,1,0.8330412626266479,0.921270191669464,0.8380732893943786,18.75,9.37,4.68,392.3,3.92,61.8,1,4,2,4,0.12
CHEMBL257182,CCSCCSC1=NN=C(C2=CC=C([N+](=O)[O-])C=C2)S1,4,"['TPSA: 68.9 (range: 18.70-56.82)', 'HBD: 0 (range: 0.23-1.59)', 'HBA: 7 (range: 1.96-4.87)', 'RotBonds: 7 (range: 0.61-4.74)']",1,1,1,0.8925423860549927,0.7217418223619461,0.9769301176071168,32.0,32.0,32.0,327.5,3.96,68.9,0,7,7,2,0.33
CHEMBL2234102,O=C1CSC2=CC=CC(Cl)=C2N1C1CCCCC1,4,"['LogP: 4.11 (range: 1.39-4.01)', 'HBD: 0 (range: 0.23-1.59)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.5 (range: 0.13-0.49)']",1,1,1,0.909814989566803,0.8188600659370422,0.8609366059303284,16.0,32.0,64.0,281.8,4.11,20.3,0,2,1,3,0.5
CHEMBL2235697,O=C1NC2=CC=C(Cl)C=C2/C1=N/N1C(=O)CSC1C1=CC=C(F)C=C1,4,"['MW: 375.8 (range: 183.21-338.85)', 'TPSA: 61.8 (range: 18.70-56.82)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.12 (range: 0.13-0.49)']",1,1,1,0.8247227668762207,0.9196447610855104,0.8373644709587097,18.75,18.75,9.37,375.8,3.41,61.8,1,4,2,4,0.12
CHEMBL555227,O=C1OC(C2=CC=C(Cl)C=C2)=C/C1=C\C1=CC=C(F)C=C1,4,"['LogP: 4.46 (range: 1.39-4.01)', 'HBD: 0 (range: 0.23-1.59)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.0 (range: 0.13-0.49)']",1,1,1,0.9479587435722352,0.6631790339946747,0.9667580366134644,12.5,12.5,12.5,300.7,4.46,26.3,0,2,2,3,0.0
CHEMBL2298079,CN1C=C(CCCNC(=O)CCC2=CN(C)C3=CC=C(Cl)C=C23)C2=CC(Cl)=CC=C21,4,"['MW: 442.4 (range: 183.21-338.85)', 'LogP: 5.66 (range: 1.39-4.01)', 'RotBonds: 7 (range: 0.61-4.74)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.9752927899360656,0.8520395755767822,0.743834936618805,12.5,25.0,25.0,442.4,5.66,39.0,1,3,7,4,0.29
CHEMBL582886,COC1=CC=C(/C=C/C2=NC3=CC(Br)=CC=C3N2)C=C1OC,4,"['MW: 359.2 (range: 183.21-338.85)', 'LogP: 4.51 (range: 1.39-4.01)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.12 (range: 0.13-0.49)']",1,1,1,0.8483747005462646,0.782185173034668,0.9392485380172728,2.0,31.25,1.0,359.2,4.51,47.1,1,3,4,3,0.12
CHEMBL4166564,CC1=NC(C2=CC=CC(Cl)=C2)=CC=C1C(=O)N/N=C/C1=CC=C(Cl)C=C1,4,"['MW: 384.3 (range: 183.21-338.85)', 'LogP: 5.13 (range: 1.39-4.01)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.05 (range: 0.13-0.49)']",1,1,1,0.9494850277900696,0.7610893726348877,0.8562126398086548,1.95,0.49,3.9,384.3,5.13,54.4,1,3,4,3,0.05
